relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-01206,ZLH-013,ZLH-131,交游,low,medium,"冯雪峰、楼适夷(以包子衍),阳翰笙、田汉(以上张向华),戴平万(饶茎子、黄仲文),孟超(卢正言),王任叔、扬邮人(以上陈梦烨),柯仲平(周健,石凌鹤、彭柏山(",,
REL-01215,ZLH-013,ZLH-144,签名联署,medium,medium,"933年月在《中国著作家欢迎巴比塞代表团尼事》上签名,支持世界反战大会在上海有开,欢迎巳比塞代表团来华。年月日和田汉等同时被国民党反动派逸捕,囚; .同年月,在《中国著作家欢迎巴比塞代表团启事上签名,支持世界反战会议在上海召开,欢迎巴比塞代表团来华.同年导演电影《铁板红泪录)(阳翰笙编剧).1934年,为; 933年月在《中国著作家欢迎巴比塞代表园启事》上签名,支持世界反战会议",,
REL-01221,ZLH-014,ZLH-018,待核验,critical,low,",潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、白薇、洪深(以上王文英),洪灵非、蒋光慈、柔石、李伟椒、殴夫、冯铿、冯宪章、刘一梦、彭家",,
REL-01232,ZLH-014,ZLH-030,地下通讯,low,medium,"任叔、陈日尘、周而复、欧阳山、吴奚如等出席第一-次小说家座谈会,讨论“主题的积极性和真人真事“等问题,为小说家座谈会会员。不久,奉党组织之命,秘密护送从南京逃来; 艾芜、叶紫、田汉、田间、白曙、冯乃超、冯雪峰、冯锂、任白戈、任钧、阳翰笙、孙席珍、李伟森、吴奚如、应修人、沙汀、沈起子、张天翼; ,潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、白薇、洪深(以上王文英),洪灵非、",,
REL-01234,ZLH-014,ZLH-032,待核验,critical,low,",潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、白薇、洪深(以上王文英),洪灵非、蒋光慈、柔石、李伟椒、殴夫、冯铿、冯宪章、刘一梦、彭家",,
REL-01236,ZLH-014,ZLH-035,同属组织,critical,low,"任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰; 杨潮)、式加(路丁)、方之中、李辉英、达伍(廖沫沙)、魏猛克、黄新波、张天虐、杜谈、白台(钟望阳)黎夫(夏征农)、白丁(王球)、欧查、蒋弼、齐速、勇余、江家为等; ,潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、",,
REL-01238,ZLH-014,ZLH-037,同属组织,critical,low,"任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰; 家》(以上洪灵菲)、《挣扎》(楼建南)、《诗稿》(胡也频)、《爱与仇》(森堡)、《炸弹与征鸟》(白薇),《平林泰子集》(沈端先译),、《林房雄集)(林伯修译)、; .撰稿人有鲁迅、瞿秋白、茅盾、冯乃超、适夷、张天冥、丁玲、冯雪峰、耶林、",,
REL-01261,ZLH-014,ZLH-091,合作,critical,medium,"任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰; 左翼作家联盟机关刊。鲁迅主编,叶以群等参加编辑。小报型文艺期刊,1931年月日在上海创刊,同月日出版第期,1931年月日出版第期,第1、2期",,
REL-01262,ZLH-014,ZLH-093,合作,critical,medium,"也是同年,北平、天津的青年诙人王亚平、袁勃、曼普等共同在北平建立中国诗歌会河北分会,他们是在上海加人中国诗歌会后才去筹备分会的。分会完全执行上海总会的方针、任务",,
REL-01272,ZLH-014,ZLH-119,待核验,critical,low,",潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、白薇、洪深(以上王文英),洪灵非、蒋光慈、柔石、李伟椒、殴夫、冯铿、冯宪章、刘一梦、彭家",,
