relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-02005,ZLH-024,ZLH-120,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; 年月日鲁迅逝世,沙汀、艾芜代表他和周扬去万国源仪馆,向鲁迅的遗体致哀.同时参加鲁迅葬礼的组织工作,发动文总下属各联群众积极参加为鲁迅先生送蒙。作悼文《在; 关露、田间等视翼作家眉、周扬、夏征农、周而复、任_邓签名支持推行“二头孕",,
REL-02012,ZLH-024,ZLH-131,交游,low,medium,"意见》,集中发表了荒煤、征农、艾芜、魏金枝、罗烽、林娜、舒群、戴平万、叶紫、沙汀、黄俞、杨骚、梅雨、张庚、茅眉、周扬、凡海的论文篇。在“国防文学“理论指导下; 、杜衡(以上应国靖),魏金枝、艾芜、沙汀、徐懋庸、周立波(以上王尔龄),茅眉、于伶(以上孔海珠),胡也频、草明(以上余仁凯),穆木天、葛琴(以上张伟),任钧(艾",,
REL-02037,ZLH-025,ZLH-038,待核验,critical,low,、丁玲、杜君慧、侯枫、刘锡五、沙汀、夏征农、许幸之、叶沉、安娥、戴望舒、黎锦明、楼适夷、杨刚、姚蓬子、叶灵凤、方土人、刘一梦、任白戈、石凌鹤、王蕾嘉、吴冠如、徐; 艾芜、何家槐、沈西苓、沈起予、沙汀、杜君慧、金奎光、林娜(司马文森)、周钢鸣、邱韵铎、荒煤、徐步、徐懋庸、许杰、许幸之、丽尼、关霁、钱亦石、戴平万、聂绀弩、魏金; 唱求《水呵你流向哪一方》等诗。陈荒煤〔(1913一1996)左翰作家陈荒,,
REL-02039,ZLH-025,ZLH-042,交游,low,medium,"丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及世界各国; 骚、风斯(刘芳松、东平、耶林、沙汀、谷菲(胡风)、何丹仁(冯雪峰)、沈起予、胡楣(关霹)、何左联报刊简丫菲(何小石)、文芜、柯琴(葛琴)、李辉英、祝秀侠等左联盟; ,集中发表了荒煤、征农、艾芜、魏金枝、罗烽、林娜、舒群、戴平万、叶紫、沙",,
REL-02057,ZLH-025,ZLH-077,同属组织,high,low,战友（季楚书） 一个左联盟员的回忆琐记（沙汀） 三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形 我想起了左联（关露） 关于“左联”的一些情况（任钧） 左联与中国诗歌会（柳倩）——左联是如何通过,,
REL-02068,ZLH-025,ZLH-099,同属组织,critical,low,"的前后》,魏猛克《回忆左联》,沙汀《一个左联盟员的回忆琐记》,关霁《我想起了左联》,任白戈《我在“左联“工作的时候5,王淑明《我与“左联“二三事》,草明《“左联",,
REL-02073,ZLH-025,ZLH-107,待核验,critical,low,、任白戈、任钧、羊枣、沈起予、沙汀、何家榜、林林、林娜、林淡秋、周钢鸢、周扬、荒燥、徐懋庸、柳倩、夏征农、梅雨、戴平万、杨骚、关露、欧阳凡海、穆木天、丽尼。其他; 朱自清、朱曼华、任白戈、任钧、沙汀、李健吾、李兰、沈起予、宋云彬、何家榜、何界、吴文祺、吴景超、吴耀忠、辛人、汪佳然、邢桐华、邱韵铎、周白月、周木斋、周钢鸣、周,,
REL-02089,ZLH-025,ZLH-136,交游,low,medium,"会议准月在沪开会》,还发表了宋庆龄的宣言《反对帝国主义战争1》同时传出一个令人振奋的消息:法国著名作家、杰出的反法西斯战士巴比塞已在来华途中,不久将抵达上海,; 震中外的“救国人狱运动“,这是宋庆龄、何香凝、诸青来、彭文应、张定夫、胡愈之、汪馥炎、张宗麟、潘大逵、王统照、张天翼、沈兹九、刘良模、胡子婴、陈波儿、潘白山等1",,
REL-02105,ZLH-026,ZLH-034,待核验,critical,low,赵俪生、钟望阳、郝冠英、草明、胡风、胡也频、柏山、柳风、柳倩、段雪笙、段英、俞人舟、洪深、洪灵菲、洪道、宣侠父、姚蓬子、柔石、饶彰风、袁殊、袅青伟、聂绀、夏征农,,
REL-02138,ZLH-026,ZLH-093,同属组织,critical,low,",希望它继续歌唱。从这些诗里,胡风看出艾青明显地是“受了魏尔哈伦、波德莪尔、李金发等诗人底影响“。(4)雷石榆评溶风、王亚平诗人雷石榆对左联战友蒲风感情颇",,
REL-02139,ZLH-026,ZLH-096,待核验,critical,low,21位不同流派的作家一一巴金、王统照、包天笑、沈起予、林语堂、洪深、周瘦鹃、茅盾、陈望道、郭沫若、夏七葛、张天翼、傅东华、叶绍钧、郑振铎、郑伯奇、赵家璧、黎烈女,,
REL-02149,ZLH-026,ZLH-121,待核验,critical,low,"我你有时间吗?,“我一口答应。胡风郑重地对我说:“这可是一件重要的工作啬!第一要抄得清清楚楚,第二不能弄胃原稿,你能办到吗?““我有点犹豫但还是点了点头,想着这; 迅患病卧床丁,便把这一工作交给胡风,日译作品也由胡风确定。他决定接下去量译柏山《崖边力沙汀《老人、周文《父子之间》、欧阳山《明镜》、艾芜《山峡中》等篇。193; 元培、马相伯、宋庆龄、毛泽东、内山完造、A.史沫特莱、沈钧儒、茅盾、萧参",,
REL-02154,ZLH-026,ZLH-129,交游,low,medium,"日本被驱逐归国的谷非(即后来的胡风),开始接受他的领导,在革命工作中加深了理解,于同年底结为优俪。经常随胡风去拜访鲁迅先生,深受教诫.曾接受先生委托代抄瞿秋白烈; 与鲁迅关系的名干回忆“回忆录。胡风作,载《鲁迅研究资料》第期,天津人民出版社年月出版。谈担任左联宣传部长和左联书记时的活动,解释了鲁迅给他的几封信中",,
REL-02187,ZLH-027,ZLH-058,纪念/悼念,critical,medium,"文学影响力最大的成就“;指出郭沫若,巴金、张天翼、靳以、沈起于、沙汀、艾芜、夏衍、欧阳山、丽尼、齐同、屈轶、卢萝、蒋牧良、萧军等*都在创作上尽了他们最善的努; 山、奚如、聂绀弩、姚克、萧红、萧军等位青年作家,以“转形花圈一袭敬献鲁迅先生“,表示哀悼,并参加鲁迅治丧办事处工作.同年月日,和萧军、沙汀、艾芜、周; 月日创刊。撰稿人有鲁迅、郭沫若、茅盾、王任梓、白薇、沈起孙、何家槐、李辉",,
REL-02192,ZLH-027,ZLH-069,交游,low,medium,、蒋牧良、陈白尘、芦棚、萧红、萧军、艾青、臧克家、张庚、盲驯、姚克、旅冈、李兰等;大; 奇、吕骥、冼星海、柯灵、柳谋、张庚、欧阳予倩、金山、孙师毅、孙瑜、袁牧之、陈子展、唐纳、程步高、郑君里、蔡楚生、赵景深、应云卫等。4.抗议公映日本法西斯电影《新,,
REL-02208,ZLH-027,ZLH-119,待核验,critical,low,"禾场上)》张天翼《清明时节》、何家槐《怀旧集)叶紫《丰收》等)和描写牢狱生活的文学(艾芜《强与弱》》《馅死鬼》等)。出现了许多成功的翻译(鲁迅译《死魄灵》等),; 、茅盾、王任梓、白薇、沈起孙、何家槐、李辉英、艾芜、阿英、洪深、郜达夫、张天翼、庄启东、郑伯奇、穆木天、魏猛克等左翼作家.专载通俗化的小说,散文,“文言体及语录; 疑态度,并未接受;巴金、胡风、萧军、萧红等团结在鲁迅周围的作家,或受鲁迅",,
REL-02220,ZLH-027,ZLH-136,待核验,high,low,"6时许,生前友好冯雪峰、黄源、萧军、内山完造、鹿地亘夫妇闻讯后即赶到鲁迅寓所。宋庆龄@“陈烟桥《鲁迅先生与中国木刻",,
REL-02227,ZLH-027,ZLH-145,交游,low,medium,"罗文艺“及“欠妥“;鲁迅作序的萧军《八月的乡村》也被查禁,罪名竟然是“鼓吹阶级才争“1人生派“小说家茅盾的作品主要描绘小资产阶级知识青年的生活,文风又不像鲁迅杂",,
REL-02250,ZLH-028,ZLH-073,待核验,critical,low,螂绀弩欧阳山澎岛任文川萧军萧乾萧红辛人加成孙用_宋之的徐螺世弥唐弛田菲田_间_天_虚_万迪鹳“王余杞王元亩_吴景崔_吴组湘晚如胡风; 、聂绀弩、叶以群、白薇、欧查、王余杞、林娜(司马文森)、穆木天、彭慧、奚如、东平、马宁、耀高丘(丁玲)、郭沫若等。周文、张天翼、路丁、胡风、屠琪(梅志)、草明、,,
REL-02254,ZLH-028,ZLH-082,待核验,high,low,螂绀弩欧阳山澎岛任文川萧军萧乾萧红辛人加成孙用_宋之的徐螺世弥唐弛田菲田_间_天_虚,,
REL-02263,ZLH-028,ZLH-121,交游,low,medium,"徐梵澄、蒋牧良、陈白尘、芦棚、萧红、萧军、艾青、臧克家、张庚、盲驯、姚克、旅冈、李兰等;大力声援受压迫的中国左翼作家联盟和中国左翼文学运动的外国友人有美国的史沫; 他坚持编校《海上述林》。女作家萧红描述过她见到的动人一幕:“鲁迅先生的身体不大好,容易伤风,伤风之后,照样要陪客人,回信,校稿子。所以伤风之后总要拖下去一个月或; 的作品(田军的《八月的乡村》,萧红的《生死场》等),印版画,提倡“新文字",,
REL-02264,ZLH-028,ZLH-122,签名联署,low,medium,"日,和茅盾、夏衍、巴金郑振铎,景宋等余位左翼和迹步文化界人土联名发表(反对日本(新地〉辱华片宣言》.周扬是“社会主义现实主义“在我国的最早宣传者和倡导者。",,
REL-02270,ZLH-028,ZLH-133,交游,medium,medium,"徐梵澄、蒋牧良、陈白尘、芦棚、萧红、萧军、艾青、臧克家、张庚、盲驯、姚克、旅冈、李兰等;大力声援受压迫的中国左翼作家联盟和中国左翼文学运动的外国友人有美国的史沫; 的作品(田军的《八月的乡村》,萧红的《生死场》等),印版画,提倡“新文字「,译《死魂灵》等才是我们的文化实践家!新中国的思想家!………他永远是站在文化前线搏斗",,
REL-02275,ZLH-028,ZLH-142,待核验,critical,low,"夫一一谢德林、契诃夫、高尔基、法捷耶夫、涅维洛夫、理定、班台荷耶夫,萨多维亚努.伊凡.伐佐夫、贝歇尔、巴罗哈和一些日本作家,翻译出版了《文艺政策、《艺术论》、《",,
REL-02276,ZLH-028,ZLH-143,纪念/悼念,critical,medium,"天翼、聂绀弩、路丁(王尧山)、萧红、萧军、梅志、周颖等位青年作家献上轰形花圈一袭,悼念鲁迅先生。日,周文和其他位中外作家扶先生灵枢上车,去万国公墓安",,
REL-02288,ZLH-029,ZLH-042,同属组织,critical,low,"丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及世界各国",,
REL-02297,ZLH-029,ZLH-058,签名联署,low,medium,"、路丁、胡风、欧阳山、奚如、聂绀弩、姚克、萧红、萧军等位青年作家,以“转形花圈一袭敬献鲁迅先生“,表示哀悼,并参加鲁迅治丧办事处工作.同年月日,和萧; 撰稿人多为左联盟员,如鲁迅、郭沫若、聂绀弩、沈起才、奚如、东平、张天虚、; 典手头字缘起》,鱼迅、郭沫若、茅“方之中、关露、田间等视翼作家眉、周扬、夏征农、周而复、任_邓签名支持推行“二头孕“,是门戈、徐椿庸、胡风、艾芜、沙--份",,
REL-02355,ZLH-030,ZLH-039,交游,low,medium,"李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应修人、辛劳、汪宪、沙汀、沈起孙、谷万川、谷景生、谷牧、张寮晖、张秀岩.; 艺,开展工农兵通讯运动。成员有吴奚如、徐平羽、何家槐、陈大戈、彭柏山等,吴奚如、徐平羽,何家槐先后担任过委员会的召集人。创作批评委员会左联秘书处下属单位.又称创; 以、沈起于、沙汀、艾芜、夏衍、欧阳山、丽尼、齐同、屈轶、卢萝、蒋牧良、萧",,
REL-02375,ZLH-030,ZLH-081,待核验,critical,low,"2月,欧阳山、王任叔、周而复、吴奚如、聂绀弩、蒋牧良、李溶华、陈白尘等举行第一次小说家座谈会,讨论",,
REL-02384,ZLH-030,ZLH-099,同属组织,critical,low,",金丁《有关左联的一些回忆》,吴奚如《左联大众化工作委员会的活动》,任钩《关于“左联“的一些情况》,王尧山《忆在“左联“工作的前后》,魏猛克《回忆左联》,沙汀《",,
REL-02388,ZLH-030,ZLH-107,交游,low,medium,"剑云、郑正秋、许幸之、史东山、孙师毅、王人美、周伯勋、郑君里、舒绣文等余人出席。那晚,鲁迅先生也光临这一盛会,他的座位在瓦扬.古久列的正对面。田汉回忆说,欢",,
REL-02406,ZLH-031,ZLH-035,待核验,critical,low,"铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东平、征农、荒煤、葛琴、徐盈、叶紫、罗烽、舒群、端木; 了一批文学新人,如艾芜、沙汀、李辉英、芦焕、葛琴等,扩大了左翼文学队伍;同时大; ,文章贾扬张天翼、沙汀、文芜、李辉英、耶林、葛琴等“以沈阳事变,上海战争中士兵",,
REL-02421,ZLH-031,ZLH-058,交游,low,medium,"行》(张天翼)、《十字架》(郭沫若)、《一部遗失了的日记片断》(失名)、《法律外的航线(沙汀)书后有附录两种,《现代中国文学运动》(尼姆,威尔士)和参考书目。尼",,
REL-02442,ZLH-031,ZLH-112,同属组织,critical,low,"应人、潘丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及; 达夫(王自立),杨骚(钦鸿),戴望舒、杜衡(以上应国靖),魏金枝、艾芜、沙汀、徐懋庸、周立波(以上王尔龄),茅眉、于伶(以上孔海珠),胡也频、草明(以上余仁凯)",,
REL-02463,ZLH-032,ZLH-043,待核验,critical,low,"葛琴、徐盈、叶紫、罗烽、舒群、端木蕻良、王西彦、王尘无、蒲风、田间、于伶、凌鹤、徐懋庸、聂绀弩、廖沫沙等,他们都为左; 国靖),魏金枝、艾芜、沙汀、徐懋庸、周立波(以上王尔龄),茅眉、于伶(以上孔海珠),胡也频、草明(以上余仁凯),穆木天、葛琴(以上张伟),任钧(艾以),胡风(徐",,
REL-02469,ZLH-032,ZLH-054,论战,critical,medium,"璜、关露、安娥、许杰、许“峨、许幸之、孙席珍、孙慎、远十里、苏灵扬、杜君懋、杜衡、杜谈、杜埃、杨骚、杨潮、杨邵人、杨刚、杨鹤声、杨纤如、杨秀恩、李伟森、李长路.; 期。新语林文学半月刊。主编者徐懋庸(5期起改为庄启东),发行者光华书局.1934年月日在上海创刊,共出期。“央容以短篇文字为主,凡批评社会之随感,研究文九",,
REL-02475,ZLH-032,ZLH-063,交游,low,medium,"镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启东、齐同、齐途、刘锡五、刘一梦、刘景明、刺光宗、刘芳松、刘明、刘尊棋、刘雪苇、刘御、刘春、刘宗璜、关露、; 常委周全平、蒋光慈。根据沙汀、任白戈、林淡秋、徐懋庸等的回忆,担任过左联常委的还有; 研究会。成员有韩起、周立波、徐懋庸、任白戈等。国际联络委员会左联秘书处下",,
REL-02476,ZLH-032,ZLH-065,待核验,critical,low,"王任叔、扬邮人(以上陈梦烨),柯仲平(周健,石凌鹤、彭柏山(以上王向民),郁达夫(王自立),杨骚(钦鸿),戴望舒、杜衡(以上应国靖),魏金枝、艾芜、沙汀、徐懋庸",,
REL-02502,ZLH-032,ZLH-123,同属组织,high,low,"生,1931年九一八事变后,在邹韬奋的影响下热心抗日救亡,曾组织“抗日十人团“。后去上海从事进步活动。年加入中国左翼作家联盟.1935年月和沙千里共",,
REL-02505,ZLH-032,ZLH-129,同属组织,high,low,"全集》1981年版第卷《答徐懋庸并关于抗日统一战线问题》的“题解“说,。左联「的解散曾经由茅盾征求过鲁迅的意见,鲁迅曾表示同意。“本文即针对这一观点而发。作者",,
REL-02506,ZLH-032,ZLH-131,交游,medium,medium,",又在鲁迅寓所会见美国革命作家史沫特莱,向她详细介绍中国工农红军的长征和我党的抗日民族统一战线政策,根据这些谈话,史沫特莱向全世界报道了红色中国的情况。月日; 报告文学论)CMerin作,徐懋庸译)、《报告文学的必要》(A.、Marlaux作,沈起子左联报刊简丫译)等理论和基希、A。史沫特莱的报告文学作品。该刊卷期; 国靖),魏金枝、艾芜、沙汀、徐懋庸、周立波(以上王尔龄),茅眉、于伶(以",,
REL-02508,ZLH-032,ZLH-133,交游,low,medium,"学,是平心静气的。采访完毕后,斯诺将鲁迅的回答整理成个问题,交海伦参考,海伦在《现代中国文学运动》一文中选择使用了鲁迅提供的某些材料,甚至还大段引用了斯诺记",,
REL-02524,ZLH-033,ZLH-053,纪念/悼念,high,medium,死的同志关系（向思赓）——怀念左联时期的周文同志 我与“左联”二三事（王淑明） 回忆“左联”一刊物（葛一虹） 伟大的历程和片断的回忆（荒煤）——纪念“左联”成立五十周年 “左联”散忆（林淡秋） 左联与,,
REL-02553,ZLH-034,ZLH-084,待核验,critical,low,天虚、张文松、张树森、张香山、陆万美、陈璧如、陈八昌、陈正途、陈北鸥、陈大戈、陈落、陈荒燥、陈企霞、陈君冶、陈辛仁、陈沂、陈子谷、陈克寒、巫省三、耶林、林伯修、,,
REL-02571,ZLH-034,ZLH-130,待核验,critical,low,"、冯雪峰、钱杏郭、田汉、洪深、彭康、朱镜我、丁九(应修人)、丁玲、潘汉年、郝达夫、戴平万等,还有许多进步作家如胡愈之、邹韬奋、杜重运、王统照、叶圣陶、郑振铎、杨",,
REL-02585,ZLH-035,ZLH-045,待核验,critical,low,"长路.李俊民、李绍庚、李正文、李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应修人、辛劳、汪宪、沙汀、沈起孙、谷万川、; 翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东平、; ,文章贾扬张天翼、沙汀、文芜、李辉英、耶林、葛琴等“以沈阳事变,上海战争",,
REL-02590,ZLH-035,ZLH-054,待核验,critical,low,"璜、关露、安娥、许杰、许“峨、许幸之、孙席珍、孙慎、远十里、苏灵扬、杜君懋、杜衡、杜谈、杜埃、杨骚、杨潮、杨邵人、杨刚、杨鹤声、杨纤如、杨秀恩、李伟森、李长路.; (周扬)、白薇、洪深、张天鬟.许幸之、田汉、沈端先(夏衍)、陶晶孙、徐盈、方英、(钱枪邮)、森堡(任钧)、穆木天、适夷、华蒂(以群)、杨骚、风斯(刘芳松、东平、; 、王东平、沙汀、艾芜,何家槐、李辉英、郁达夫、征农、洪深、草明、许幸之、",,
REL-02635,ZLH-035,ZLH-145,交游,low,medium,"沙汀的短篇集《法律外的航线》,李辉英的长篇小说《万宝山》,张天翼的短篇小说集《蜜蜂》,长篇小说《一年》,蓬子的短篇集《剪影集》,还有《萧伯纳在上海》(也没有提编",,
REL-02658,ZLH-036,ZLH-070,待核验,critical,low,"之中、周扬、任钧、立波、尤兢、穆木天、艾芜、辛人、东平、任白戈、何家槐、窦隐夫(杜谈)、辛劳等人,他们或报道各地的战讯、民情,或创作鼓舞人民投身抗战的街头剧、诗",,
REL-02660,ZLH-036,ZLH-077,地下通讯,low,medium,"创作.成员有蒲风.杨骚、白曙、柳倩,关露等,负责人穆木天、森堡(任钧).左联北方部全称; 做地下工作。年去延安。柳倩(1911一“)左翼诚人。原名划智明,笔名天隽等,四川荪县人。早年就读成都大学。年到上海,从事文学活动。年月; 工作,参加创作委员会诗歌组,和穆木天.柳倩、杨骚、任钧、蒲风等相往还,在",,
REL-02674,ZLH-036,ZLH-105,同属组织,critical,low,英、(钱枪邮)、森堡(任钧)、穆木天、适夷、华蒂(以群)、杨骚、风斯(刘芳松、东平、耶林、沙汀、谷菲(胡风)、何丹仁(冯雪峰)、沈起予、胡楣(关霹)、何左联报刊,,
REL-02677,ZLH-036,ZLH-112,创作合作,medium,medium,"""….(254)十六画穆木天e(254)十七画工_乙〕………; 锦明、潘漠华、潘应人、潘丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反; 欢迎巴比塞代表团来华。同年,与戴望舒合编《现代创作仰刊》,收左联作家张天翼、丁玲、魏金枝、何家槐、穆木天等的作品种。年月,",,
REL-02682,ZLH-036,ZLH-120,合作,critical,medium,"虐、杜谈、白台(钟望阳)黎夫(夏征农)、白丁(王球)、欧查、蒋弼、齐速、勇余、江家为等中国左翼作家联盟成员.鲁迅发表思想评论,聂绀弩、夏征农等进行社会批评,杜谈; ,胡也频、草明(以上余仁凯),穆木天、葛琴(以上张伟),任钧(艾以),胡风(徐霖左联研究资料简介恩),关露(萧阳,林绀弹(费万龙),李辉英、端木蕻良(以上马踹疾",,
REL-02693,ZLH-036,ZLH-136,交游,low,medium,"会议准月在沪开会》,还发表了宋庆龄的宣言《反对帝国主义战争1》同时传出一个令人振奋的消息:法国著名作家、杰出的反法西斯战士巴比塞已在来华途中,不久将抵达上海,; 个问题后,5月日即开庭宣判穆木天及其余名同案人无罪释放。年月,穆木天再次被捕人狱,原因是他年参加抗日活动,担任了以宋庆龄、何香凝等为首的; )和彭慧(1907一1968)穆木天是左翼诗人、翻译家,原名穆敬熙,笔名",,
REL-02709,ZLH-037,ZLH-045,交游,low,medium,"忆录提供,杨潮,彭柏山、彭慧、周立波、梅益等也担任过左联常委。左联秘书处左联日常工作的领导机构。受左联执行委员会领导,由书记、组织、宣传各人组成,贯彻执行上级; 作家,如周钢鸣、徐意庸、关霁、周立波、聂绀弩、奚如、林娜、梅雨、柳倩、蒲几、舒群、林林、尘无、何家槐等。《发刊词》说:“我们的刊物,“是生活知识,但不是生活于任; 东平(以上胡从经)、冯雪峰、楼适夷(以包子衍),阳翰笙、田汉(以上张向",,
REL-02726,ZLH-037,ZLH-080,待核验,critical,low,叶沉、安娥、戴望舒、黎锦明、楼适夷、杨刚、姚蓬子、叶灵凤、方土人、刘一梦、任白戈、石凌鹤、王蕾嘉、吴冠如、徐平羽、张天翼、祝秀侠、董每戡、杜衡、冯锂、葛琴、关雷,,
REL-02736,ZLH-037,ZLH-100,文学论战,low,medium,"全平、蒋光慈、胡也频、柔石、姚蓬子、阳翰笙、茅眉、周扬、周文、朗风、丁玲、楼适夷、华蒂(叶以群)、李辉英、汪金; 发表他的《创作月评》,首先对姚蓬子作品的不良倾向进行批判,同年月是高尔基文学活动四十周年,《文化月报》创刊号发表中国左翼作家联盟的贺词《高尔基的四十年创作生; 关刊。周起应编辑(最初期由姚蓬子编3,光华书局发行,1932年月日在上海创刊,封面设计钱君甸。撰稿人有宋阳(瞿秋白",,
REL-02740,ZLH-037,ZLH-113,同属组织,critical,low,超、林伯修(杜国库)、楼建南(适夷)、冯宪章、赵冷(王任叔)、戴平万、谷万川、殷夫、徐迅雷、刘一梦等自然也就是该社社员。太阳社刊物还有《时代文艺》、《海风周报3,,
REL-02743,ZLH-037,ZLH-119,交游,low,medium,"、胡风、周文、任白戈、徐懋庸、何家槐、林淡秋等人。有的回忆录提供,杨潮,彭柏山、彭慧、周立波、梅益等也担任过左联常委。左联秘书处左联日常工作的领导机构。受左联执; 柳倩、蒲几、舒群、林林、尘无、何家槐等。《发刊词》说:“我们的刊物,“是生活知识,但不是生活于任何时间及任何地方的自然人所应有的知识,而是生活于国土语失,农村破; 东平(以上胡从经)、冯雪峰、楼适夷(以包子衍),阳翰笙、田汉(以上张向",,
REL-02755,ZLH-037,ZLH-134,交游,low,medium,"、山上正义、尾崎秀实、增田涉、鹿地亘等,凡是关心支持帮助过左联和中国左翼文学运动的中外友人,中国人民都永远记着他们!中国左翼作家联盟是年代左翼文化运动的主力",,
REL-02758,ZLH-037,ZLH-139,创作合作,low,medium,"洛扬(汞雪峰)、奕如(夏衍),适夷联名签署.同年月,中苏两国政府恢复邦交,左联发表《中国著作家为中苏复交致苏联电》,柳亚子、鲁迅、丁玲等位左翼作家和文化",,
REL-02792,ZLH-038,ZLH-105,待核验,critical,low,雪峰、胡也频、李伟森、螂绀弩、沈起予、艾芜、丁玲、杜君慧、侯枫、刘锡五、沙汀、夏征农、许幸之、叶沉、安娥、戴望舒、黎锦明、楼适夷、杨刚、姚蓬子、叶灵凤、方土人、; 、立波、艾芜、何家槐、沈西苓、沈起予、沙汀、杜君慧、金奎光、林娜(司马文森)、周钢鸣、邱韵铎、荒煤、徐步、徐懋庸、许杰、许幸之、丽尼、关霁、钱亦石、戴平万、聂绀,,
REL-02799,ZLH-039,ZLH-042,交游,low,medium,"丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及世界各国; 石夫(伍石夫)、鲁迅、龙贡公(欧阳山》、绀訾(聂绀弹)、奚如(吴奚如)、郑伯奇、关露、张天翼、郭沫若、辛人(陈辛仁)、荒煤、征农、艾芜、魏金枝、罗烟、林娜(司马; 活的篇:《水棚里的清道夫》(欧阳山)、《倾跌》(草明)、《一件寻常事》",,
REL-02818,ZLH-039,ZLH-074,待核验,critical,low,团。周扬、巴金、叶圣陶、丁玲、欧阳山、冰心、艾青、沈兹九、周海婴、邓力群、冯文彬、周蟹峙、贺敬之、杨秀峰、陈翰伯、严文井、韦君宜及全国文艺界知名人士和,,
REL-02828,ZLH-039,ZLH-097,同属组织,critical,low,───2|左联概述西、王士钟、王西彦、王瑶、王若望、王玉堂(冈夫)、方光焘、方土人、方之中、方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉; 的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东平、征农、荒煤、葛琴、徐盈、叶紫、罗烽、舒群、端木蕻良、王西彦、王尘无、蒲风、田间、于伶、凌; 以、沈起于、沙汀、艾芜、夏衍、欧阳山、丽尼、齐同、屈轶、卢萝、蒋牧良、萧军,,
REL-02829,ZLH-039,ZLH-098,交游,low,medium,)、《狗》(巴金)、《柏子》(沈从文)、《阿娥》(孙席珍)、《在“大连号“轮船上》(田军)、《第三支枪》(田军)、《狗肉将军》(林语堂)、《皈依》(萧乾)、《紫,,
REL-02835,ZLH-039,ZLH-112,同属组织,critical,low,"应人、潘丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及",,
REL-02850,ZLH-039,ZLH-134,合作,critical,medium,"迅葬礼,和巴金、黄源、张天翼、欧阳山、聂绀弩、田军、周文、靳以、萧乾、吴朗西、黎券文、孟十还、曹白\鹿地亘等扶鲁迅先生灵枢上车,前往万国; 家槐、何谷天、(周文)夏征农、欧阳山、谷非(胡风)、尹虚、草明、艾芫、耽绀弩,吴冠如、丘东平、杨潮、华蒂(以群》、祈驼(于伶)、胡意(关露)等,发表的重要作品有",,
REL-02857,ZLH-039,ZLH-143,纪念/悼念,critical,medium,"丧办事处的工作,他们还和胡风、欧阳山、张天翼、聂绀弩、路丁(王尧山)、萧红、萧军、梅志、周颖等位青年作家献上轰形花圈一袭,悼念鲁迅先生。日,周文和其他1",,
REL-02861,ZLH-039,ZLH-150,待核验,critical,low,"、黄素、王学文、郑伯奇、何畏、萧三、鄄达夫、陶商孙、方光然、金奎光、彭家煌、田汊、王一榴、董绍明、宣侠父、阿英、穆木天、魏金枝、夏衍、杨骚、杨潮、应修人、周毓英; 、马子华、东平、方光焘、白薇、欧阳山、草明、徐步、田间、尧党(于伶)、聂绀弹、胡风、司徒慧敏、杨骚、周文、安娥、盛鹤、沈西苓、王余杞、叶紫、关露、尹庚、奚如、荣; 作家的佳作,如征农《禾场上》、欧阳山《水棚里的清道夫》、草明《倾跌》、张",,
