subject_type,subject_id,predicate,object_value,reason
event,EVT-00100,event_occurrence,1929年太阳社文学活动记录,缺少可定位事件证据
event,EVT-00236,event_occurrence,《生活》周刊创刊,缺少可定位事件证据
event,EVT-00235,event_occurrence,何家槐1929年上海文学活动记录,缺少可定位事件证据
event,EVT-00132,event_occurrence,柔石1929年上海文学活动记录,缺少可定位事件证据
event,EVT-00179,event_occurrence,穆木天1929年中华艺术大学活动记录,缺少可定位事件证据
event,EVT-00122,event_occurrence,郁达夫1929年上海文学活动记录,缺少可定位事件证据
event,EVT-00019,event_occurrence,鲁迅拜访内山书店,缺少可定位事件证据
event,EVT-00136,event_occurrence,冯铿元宵抵沪,缺少可定位事件证据
event,EVT-00016,event_occurrence,鲁迅与内山完造通信,缺少可定位事件证据
event,EVT-00020,event_occurrence,鲁迅拜访内山书店,缺少可定位事件证据
event,EVT-00002,event_occurrence,鲁迅与柔石会面,缺少可定位事件证据
event,EVT-00003,event_occurrence,鲁迅与柔石会面,缺少可定位事件证据
event,EVT-00040,event_occurrence,1930年《萌芽月刊》文学活动记录,缺少可定位事件证据
event,EVT-00093,event_occurrence,1930年内山书店文学活动记录,缺少可定位事件证据
event,EVT-00094,event_occurrence,1930年创造社文学活动记录,缺少可定位事件证据
event,EVT-00131,event_occurrence,柔石1930年上海文学活动记录,缺少可定位事件证据
event,EVT-00185,event_occurrence,楼适夷1930年上海文学活动记录,缺少可定位事件证据
event,EVT-00181,event_occurrence,穆木天1930年中华艺术大学活动记录,缺少可定位事件证据
event,EVT-00209,event_occurrence,高尔基1930年上海文学活动记录,缺少可定位事件证据
event,EVT-00023,event_occurrence,鲁迅光华书局抗议,缺少可定位事件证据
event,EVT-00022,event_occurrence,鲁迅商务印书馆抗议,缺少可定位事件证据
event,EVT-00006,event_occurrence,鲁迅与柔石会面,缺少可定位事件证据
event,EVT-00007,event_occurrence,鲁迅与柔石会面,缺少可定位事件证据
event,EVT-00256,event_occurrence,鲁迅五十寿辰集会,缺少可定位事件证据
event,EVT-00041,event_occurrence,1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00225,event_occurrence,1931年上海社会活动记录,缺少可定位事件证据
event,EVT-00201,event_occurrence,1931年左联新年文学活动记录,缺少可定位事件证据
event,EVT-00116,event_occurrence,丁玲1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00212,event_occurrence,上海文学座谈会,缺少可定位事件证据
event,EVT-00237,event_occurrence,何家槐1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00064,event_occurrence,内山书店秘密会议,缺少可定位事件证据
event,EVT-00115,event_occurrence,冯乃超1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00224,event_occurrence,叶以群内山书店秘密会议,缺少可定位事件证据
event,EVT-00167,event_occurrence,吴奚如1931年上海文艺活动记录,缺少可定位事件证据
event,EVT-00187,event_occurrence,左联秘密会议,缺少可定位事件证据
event,EVT-00188,event_occurrence,左联虹口秘密会议,缺少可定位事件证据
event,EVT-00170,event_occurrence,徐懋庸1931年上海文艺活动记录,缺少可定位事件证据
event,EVT-00154,event_occurrence,沙汀1931年上海文学交流记录,缺少可定位事件证据
event,EVT-00147,event_occurrence,沙汀1931年遭拘押相关记录,缺少可定位事件证据
event,EVT-00067,event_occurrence,潘汉年1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00086,event_occurrence,田汉1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00165,event_occurrence,聂绀弩1931年上海文艺活动记录,缺少可定位事件证据
event,EVT-00146,event_occurrence,艾芜1931年遭拘押相关记录,缺少可定位事件证据
event,EVT-00026,event_occurrence,茅盾1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00245,event_occurrence,萧伯纳1931年访华相关记录,缺少可定位事件证据
event,EVT-00065,event_occurrence,虹口秘密会议,缺少可定位事件证据
event,EVT-00238,event_occurrence,邹韬奋1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00217,event_occurrence,邹韬奋上海演讲,缺少可定位事件证据
event,EVT-00123,event_occurrence,郁达夫1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00126,event_occurrence,郁达夫内山书店秘密会议,缺少可定位事件证据
event,EVT-00127,event_occurrence,郁达夫虹口秘密会议,缺少可定位事件证据
event,EVT-00111,event_occurrence,阳翰笙复旦大学演讲,缺少可定位事件证据
event,EVT-00012,event_occurrence,鲁迅1931年上海文学活动记录,缺少可定位事件证据
event,EVT-00257,event_occurrence,东方旅社文学集会,缺少可定位事件证据
event,EVT-00137,event_occurrence,冯铿被捕事件,缺少可定位事件证据
event,EVT-00145,event_occurrence,李求实被捕事件,缺少可定位事件证据
event,EVT-00133,event_occurrence,柔石在东方旅社31号房间被捕,缺少可定位事件证据
event,EVT-00142,event_occurrence,殷夫被捕事件,缺少可定位事件证据
event,EVT-00008,event_occurrence,左联五烈士遇难,缺少可定位事件证据
event,EVT-00148,event_occurrence,龙华二十四烈士遇难,缺少可定位事件证据
event,EVT-00018,event_occurrence,鲁迅与内山完造通信,缺少可定位事件证据
event,EVT-00258,event_occurrence,《北斗》创刊,缺少可定位事件证据
event,EVT-00215,event_occurrence,1932年上海文学交流会记录,缺少可定位事件证据
event,EVT-00071,event_occurrence,1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00203,event_occurrence,1932年左联新年文学活动记录,缺少可定位事件证据
event,EVT-00024,event_occurrence,《光华》创刊,缺少可定位事件证据
event,EVT-00038,event_occurrence,《文学月报》文学讨论会,缺少可定位事件证据
event,EVT-00118,event_occurrence,丁玲1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00253,event_occurrence,内山完造新年集会,缺少可定位事件证据
event,EVT-00121,event_occurrence,冯乃超1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00079,event_occurrence,周扬1932年遭拘押相关记录,缺少可定位事件证据
event,EVT-00196,event_occurrence,周立波上海文学沙龙,缺少可定位事件证据
event,EVT-00051,event_occurrence,夏衍1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00175,event_occurrence,徐懋庸1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00186,event_occurrence,楼适夷1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00156,event_occurrence,沙汀1932年上海文学交流记录,缺少可定位事件证据
event,EVT-00066,event_occurrence,潘汉年1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00036,event_occurrence,瞿秋白1932年光华书局文学活动记录,缺少可定位事件证据
event,EVT-00184,event_occurrence,穆木天上海会议,缺少可定位事件证据
event,EVT-00025,event_occurrence,茅盾1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00125,event_occurrence,郁达夫1932年上海文学活动记录,缺少可定位事件证据
event,EVT-00193,event_occurrence,1933年上海抗日签名活动记录,缺少可定位事件证据
event,EVT-00078,event_occurrence,周扬1933年遭拘押相关记录,缺少可定位事件证据
event,EVT-00144,event_occurrence,胡风1933年在日本因反日活动被捕记录,缺少可定位事件证据
event,EVT-00223,event_occurrence,高尔基1933年上海文学活动记录,缺少可定位事件证据
event,EVT-00259,event_occurrence,宋庆龄在莫利爱路寓所宴请萧伯纳,缺少可定位事件证据
event,EVT-00143,event_occurrence,丁玲被捕事件,缺少可定位事件证据
event,EVT-00138,event_occurrence,楼适夷因支持《文学》月刊被捕,缺少可定位事件证据
event,EVT-00260,event_occurrence,远东反战会议,缺少可定位事件证据
event,EVT-00075,event_occurrence,1934年良友图书文学活动记录,缺少可定位事件证据
event,EVT-00035,event_occurrence,徐懋庸1934年上海文学活动记录,缺少可定位事件证据
event,EVT-00030,event_occurrence,瞿秋白1934年光华书局文学活动记录,缺少可定位事件证据
event,EVT-00114,event_occurrence,阳翰笙上海签名抗议,缺少可定位事件证据
event,EVT-00015,event_occurrence,鲁迅1934年上海文学活动记录,缺少可定位事件证据
event,EVT-00261,event_occurrence,《太白》创刊,缺少可定位事件证据
event,EVT-00239,event_occurrence,何家槐1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00063,event_occurrence,冯雪峰1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00168,event_occurrence,吴奚如1935年上海文艺活动记录,缺少可定位事件证据
event,EVT-00044,event_occurrence,夏衍1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00230,event_occurrence,孙席珍1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00228,event_occurrence,孙席珍1935年生活书店文学活动记录,缺少可定位事件证据
event,EVT-00171,event_occurrence,徐懋庸1935年上海文艺活动记录,缺少可定位事件证据
event,EVT-00082,event_occurrence,田汉1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00166,event_occurrence,聂绀弩1935年上海文艺活动记录,缺少可定位事件证据
event,EVT-00240,event_occurrence,邹韬奋1935年上海文学活动记录,缺少可定位事件证据
event,EVT-00042,event_occurrence,瞿秋白长汀被俘,缺少可定位事件证据
event,EVT-00262,event_occurrence,《避暑录话》创刊,缺少可定位事件证据
event,EVT-00189,event_occurrence,1936年上海文学活动记录,缺少可定位事件证据
event,EVT-00191,event_occurrence,1936年上海社会活动记录,缺少可定位事件证据
event,EVT-00095,event_occurrence,1936年内山书店文学活动记录,缺少可定位事件证据
event,EVT-00076,event_occurrence,1936年良友图书文学活动记录,缺少可定位事件证据
event,EVT-00200,event_occurrence,于黑丁上海文艺集会,缺少可定位事件证据
event,EVT-00054,event_occurrence,夏衍1936年上海文学活动记录,缺少可定位事件证据
event,EVT-00157,event_occurrence,沙汀1936年上海文学交流记录,缺少可定位事件证据
event,EVT-00192,event_occurrence,1937年上海抗日签名活动记录,缺少可定位事件证据
event,EVT-00233,event_occurrence,孙席珍1937年上海文学活动记录,缺少可定位事件证据
event,EVT-00232,event_occurrence,孙席珍1937年生活书店文学活动记录,缺少可定位事件证据
event,EVT-00199,event_occurrence,王任叔上海文化交流,缺少可定位事件证据
event,EVT-00089,event_occurrence,郑伯奇1937年上海文学活动记录,缺少可定位事件证据
event,EVT-00197,event_occurrence,林淡秋商务印书馆文学讲座,缺少可定位事件证据
event,EVT-00214,event_occurrence,1940年上海文学交流会记录,缺少可定位事件证据
event,EVT-00213,event_occurrence,《文学月报》讨论会,缺少可定位事件证据
person,ZLH-001,birth_year,1881,实体级来源不能替代事实级证据
person,ZLH-001,death_year,1936.0,实体级来源不能替代事实级证据
person,ZLH-001,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-002,birth_year,1896,实体级来源不能替代事实级证据
person,ZLH-002,death_year,1981.0,实体级来源不能替代事实级证据
person,ZLH-002,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-003,birth_year,1899,实体级来源不能替代事实级证据
person,ZLH-003,death_year,1935.0,实体级来源不能替代事实级证据
person,ZLH-003,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-004,birth_year,1900,实体级来源不能替代事实级证据
person,ZLH-004,death_year,1995.0,实体级来源不能替代事实级证据
person,ZLH-004,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-005,birth_year,1903,实体级来源不能替代事实级证据
person,ZLH-005,death_year,1976.0,实体级来源不能替代事实级证据
person,ZLH-005,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-006,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-006,death_year,1977.0,实体级来源不能替代事实级证据
person,ZLH-006,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-007,birth_year,1908,实体级来源不能替代事实级证据
person,ZLH-007,death_year,1989.0,实体级来源不能替代事实级证据
person,ZLH-007,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-008,birth_year,1898,实体级来源不能替代事实级证据
person,ZLH-008,death_year,1968.0,实体级来源不能替代事实级证据
person,ZLH-008,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-009,birth_year,1895,实体级来源不能替代事实级证据
person,ZLH-009,death_year,1979.0,实体级来源不能替代事实级证据
person,ZLH-009,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-010,birth_year,1894,实体级来源不能替代事实级证据
person,ZLH-010,death_year,1955.0,实体级来源不能替代事实级证据
person,ZLH-010,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-011,birth_year,1900,实体级来源不能替代事实级证据
person,ZLH-011,death_year,1977.0,实体级来源不能替代事实级证据
person,ZLH-011,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-012,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-012,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-012,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-013,birth_year,1902,实体级来源不能替代事实级证据
person,ZLH-013,death_year,1993.0,实体级来源不能替代事实级证据
person,ZLH-013,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-014,birth_year,1905,实体级来源不能替代事实级证据
person,ZLH-014,death_year,1983.0,实体级来源不能替代事实级证据
person,ZLH-014,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-015,birth_year,1896,实体级来源不能替代事实级证据
person,ZLH-015,death_year,1945.0,实体级来源不能替代事实级证据
person,ZLH-015,role,核心领导,实体级来源不能替代事实级证据
person,ZLH-016,birth_year,1902,实体级来源不能替代事实级证据
person,ZLH-016,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-016,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-017,birth_year,1903,实体级来源不能替代事实级证据
person,ZLH-017,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-017,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-018,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-018,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-018,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-019,birth_year,1910,实体级来源不能替代事实级证据
person,ZLH-019,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-019,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-020,birth_year,1903,实体级来源不能替代事实级证据
person,ZLH-020,death_year,1931.0,实体级来源不能替代事实级证据
person,ZLH-020,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-021,birth_year,1904,实体级来源不能替代事实级证据
person,ZLH-021,death_year,1986.0,实体级来源不能替代事实级证据
person,ZLH-021,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-022,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-022,death_year,1985.0,实体级来源不能替代事实级证据
person,ZLH-022,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-023,birth_year,1910,实体级来源不能替代事实级证据
person,ZLH-023,death_year,1939.0,实体级来源不能替代事实级证据
person,ZLH-023,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-024,birth_year,1904,实体级来源不能替代事实级证据
person,ZLH-024,death_year,1992.0,实体级来源不能替代事实级证据
person,ZLH-024,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-025,birth_year,1904,实体级来源不能替代事实级证据
person,ZLH-025,death_year,1992.0,实体级来源不能替代事实级证据
person,ZLH-025,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-026,birth_year,1902,实体级来源不能替代事实级证据
person,ZLH-026,death_year,1985.0,实体级来源不能替代事实级证据
person,ZLH-026,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-027,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-027,death_year,1988.0,实体级来源不能替代事实级证据
person,ZLH-027,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-028,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-028,death_year,1942.0,实体级来源不能替代事实级证据
person,ZLH-028,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-029,birth_year,1903,实体级来源不能替代事实级证据
person,ZLH-029,death_year,1986.0,实体级来源不能替代事实级证据
person,ZLH-029,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-030,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-030,death_year,1985.0,实体级来源不能替代事实级证据
person,ZLH-030,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-031,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-031,death_year,1984.0,实体级来源不能替代事实级证据
person,ZLH-031,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-032,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-032,death_year,1977.0,实体级来源不能替代事实级证据
person,ZLH-032,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-033,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-033,death_year,1952.0,实体级来源不能替代事实级证据
person,ZLH-033,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-034,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-034,death_year,1968.0,实体级来源不能替代事实级证据
person,ZLH-034,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-035,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-035,death_year,1991.0,实体级来源不能替代事实级证据
person,ZLH-035,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-036,birth_year,1900,实体级来源不能替代事实级证据
person,ZLH-036,death_year,1971.0,实体级来源不能替代事实级证据
person,ZLH-036,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-037,birth_year,1905,实体级来源不能替代事实级证据
person,ZLH-037,death_year,2001.0,实体级来源不能替代事实级证据
person,ZLH-037,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-038,birth_year,1913,实体级来源不能替代事实级证据
person,ZLH-038,death_year,1996.0,实体级来源不能替代事实级证据
person,ZLH-038,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-039,birth_year,1908,实体级来源不能替代事实级证据
person,ZLH-039,death_year,2000.0,实体级来源不能替代事实级证据
person,ZLH-039,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-040,birth_year,1913,实体级来源不能替代事实级证据
person,ZLH-040,death_year,2002.0,实体级来源不能替代事实级证据
person,ZLH-040,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-041,birth_year,1917,实体级来源不能替代事实级证据
person,ZLH-041,death_year,1994.0,实体级来源不能替代事实级证据
person,ZLH-041,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-042,birth_year,1900,实体级来源不能替代事实级证据
person,ZLH-042,death_year,1972.0,实体级来源不能替代事实级证据
person,ZLH-042,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-043,birth_year,1912,实体级来源不能替代事实级证据
person,ZLH-043,death_year,1996.0,实体级来源不能替代事实级证据
person,ZLH-043,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-044,birth_year,1915,实体级来源不能替代事实级证据
person,ZLH-044,death_year,2003.0,实体级来源不能替代事实级证据
person,ZLH-044,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-045,birth_year,1908,实体级来源不能替代事实级证据
person,ZLH-045,death_year,1979.0,实体级来源不能替代事实级证据
person,ZLH-045,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-046,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-046,death_year,1971.0,实体级来源不能替代事实级证据
person,ZLH-046,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-047,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-047,death_year,1981.0,实体级来源不能替代事实级证据
person,ZLH-047,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-048,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-048,death_year,1972.0,实体级来源不能替代事实级证据
person,ZLH-048,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-049,birth_year,1913,实体级来源不能替代事实级证据
person,ZLH-049,death_year,1989.0,实体级来源不能替代事实级证据
person,ZLH-049,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-050,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-050,death_year,1988.0,实体级来源不能替代事实级证据
person,ZLH-050,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-051,birth_year,1910,实体级来源不能替代事实级证据
person,ZLH-051,death_year,1941.0,实体级来源不能替代事实级证据
person,ZLH-051,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-052,birth_year,1914,实体级来源不能替代事实级证据
person,ZLH-052,death_year,2004.0,实体级来源不能替代事实级证据
person,ZLH-052,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-053,birth_year,1905,实体级来源不能替代事实级证据
person,ZLH-053,death_year,2003.0,实体级来源不能替代事实级证据
person,ZLH-053,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-054,birth_year,1904,实体级来源不能替代事实级证据
person,ZLH-054,death_year,1991.0,实体级来源不能替代事实级证据
person,ZLH-054,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-055,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-055,death_year,1969.0,实体级来源不能替代事实级证据
person,ZLH-055,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-056,birth_year,1920,实体级来源不能替代事实级证据
person,ZLH-056,death_year,1996.0,实体级来源不能替代事实级证据
person,ZLH-056,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-057,birth_year,1915,实体级来源不能替代事实级证据
person,ZLH-057,death_year,1980.0,实体级来源不能替代事实级证据
person,ZLH-057,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-058,birth_year,1892,实体级来源不能替代事实级证据
person,ZLH-058,death_year,1978.0,实体级来源不能替代事实级证据
person,ZLH-058,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-059,birth_year,1894,实体级来源不能替代事实级证据
person,ZLH-059,death_year,1987.0,实体级来源不能替代事实级证据
person,ZLH-059,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-060,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-060,death_year,1944.0,实体级来源不能替代事实级证据
person,ZLH-060,role,骨干成员,实体级来源不能替代事实级证据
person,ZLH-061,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-061,death_year,1939.0,实体级来源不能替代事实级证据
person,ZLH-061,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-062,birth_year,1903,实体级来源不能替代事实级证据
person,ZLH-062,death_year,1990.0,实体级来源不能替代事实级证据
person,ZLH-062,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-063,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-063,death_year,1986.0,实体级来源不能替代事实级证据
person,ZLH-063,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-064,birth_year,1914,实体级来源不能替代事实级证据
person,ZLH-064,death_year,2004.0,实体级来源不能替代事实级证据
person,ZLH-064,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-065,birth_year,1902,实体级来源不能替代事实级证据
person,ZLH-065,death_year,1964.0,实体级来源不能替代事实级证据
person,ZLH-065,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-066,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-066,death_year,1942.0,实体级来源不能替代事实级证据
person,ZLH-066,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-067,birth_year,1909,实体级来源不能替代事实级证据
person,ZLH-067,death_year,2003.0,实体级来源不能替代事实级证据
person,ZLH-067,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-068,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-068,death_year,1973.0,实体级来源不能替代事实级证据
person,ZLH-068,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-069,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-069,death_year,2003.0,实体级来源不能替代事实级证据
person,ZLH-069,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-070,birth_year,1906,实体级来源不能替代事实级证据
person,ZLH-070,death_year,1988.0,实体级来源不能替代事实级证据
person,ZLH-070,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-071,birth_year,1904,实体级来源不能替代事实级证据
person,ZLH-071,death_year,1997.0,实体级来源不能替代事实级证据
person,ZLH-071,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-072,birth_year,1920,实体级来源不能替代事实级证据
person,ZLH-072,death_year,1980.0,实体级来源不能替代事实级证据
person,ZLH-072,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-073,birth_year,1907,实体级来源不能替代事实级证据
person,ZLH-073,death_year,1997.0,实体级来源不能替代事实级证据
person,ZLH-073,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-074,birth_year,1915,实体级来源不能替代事实级证据
person,ZLH-074,death_year,2005.0,实体级来源不能替代事实级证据
person,ZLH-074,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-075,birth_year,1912,实体级来源不能替代事实级证据
person,ZLH-075,death_year,1989.0,实体级来源不能替代事实级证据
person,ZLH-075,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-076,birth_year,1909,实体级来源不能替代事实级证据
person,ZLH-076,death_year,2001.0,实体级来源不能替代事实级证据
person,ZLH-076,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-077,birth_year,1911,实体级来源不能替代事实级证据
person,ZLH-077,death_year,2004.0,实体级来源不能替代事实级证据
person,ZLH-077,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-078,birth_year,1901,实体级来源不能替代事实级证据
person,ZLH-078,death_year,1991.0,实体级来源不能替代事实级证据
person,ZLH-078,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-079,birth_year,1912,实体级来源不能替代事实级证据
person,ZLH-079,death_year,2005.0,实体级来源不能替代事实级证据
person,ZLH-079,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-080,birth_year,1913,实体级来源不能替代事实级证据
person,ZLH-080,death_year,1988.0,实体级来源不能替代事实级证据
person,ZLH-080,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-081,birth_year,1908,实体级来源不能替代事实级证据
person,ZLH-081,death_year,1994.0,实体级来源不能替代事实级证据
person,ZLH-081,role,普通成员,实体级来源不能替代事实级证据
person,ZLH-082,birth_year,1914,实体级来源不能替代事实级证据
