sheet_name,row_number,primary_key,issue_summary,source_url,evidence_ref_used,confidence
Sheet2,2646,2645|ZLH-036|ZLH-048,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第493页; 左联词典 第499页; 左联词典 第505页; 左联词典 第563页,low
Sheet2,2648,2647|ZLH-036|ZLH-053,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页; 左联史 第588页; 左联史 第608页; 左联史 第687页; 左联史 第716页,low
Sheet2,2649,2648|ZLH-036|ZLH-054,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第201页; 左联词典 第483页; 左联词典 第493页; 左联词典 第499页,low
Sheet2,2651,2650|ZLH-036|ZLH-058,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第93页; 左联词典 第168页; 左联词典 第470页; 左联词典 第493页; 左联词典 第505页,low
Sheet2,2652,2651|ZLH-036|ZLH-059,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第168页; 左联词典 第483页; 左联词典 第499页; 左联词典 第505页,low
Sheet2,2653,2652|ZLH-036|ZLH-060,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联史 第233页; 左联史 第528页,low
Sheet2,2654,2653|ZLH-036|ZLH-061,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,,左联词典 第168页,low
Sheet2,2656,2655|ZLH-036|ZLH-065,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第563页,low
Sheet2,2659,2658|ZLH-036|ZLH-070,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第725页,low
Sheet2,2660,2659|ZLH-036|ZLH-073,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第110页; 左联词典 第493页,low
Sheet2,2663,2662|ZLH-036|ZLH-081,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第351页; 左联史 第424页; 左联史 第725页,low
Sheet2,2664,2663|ZLH-036|ZLH-082,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第528页; 左联史 第725页,low
