Source,Target,Relation_Type,Context,Evidence_Ref,Weight,csv_line,pair_key,Original_Relation_Type,Suggested_Relation_Type,Audit_Flags,Audit_Note,Source_Name,Target_Name,Source_Role,Target_Role
ZLH-013,ZLH-021,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,25,ZLH-013__ZLH-021,强关联-组织隶属,,,,阳翰笙,丁玲,核心领导,骨干成员
ZLH-013,ZLH-037,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,26,ZLH-013__ZLH-037,强关联-组织隶属,,,,阳翰笙,楼适夷,核心领导,骨干成员
ZLH-013,ZLH-150,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,27,ZLH-013__ZLH-150,强关联-组织隶属,,,,阳翰笙,萧三,核心领导,相关人士
ZLH-013,ZLH-025,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,28,ZLH-013__ZLH-025,强关联-组织隶属,,,,阳翰笙,沙汀,核心领导,骨干成员
ZLH-013,ZLH-024,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,29,ZLH-013__ZLH-024,强关联-组织隶属,,,,阳翰笙,艾芜,核心领导,骨干成员
ZLH-013,ZLH-067,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,30,ZLH-013__ZLH-067,强关联-组织隶属,,,,阳翰笙,任钧,核心领导,普通成员
ZLH-013,ZLH-077,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,31,ZLH-013__ZLH-077,强关联-组织隶属,,,,阳翰笙,柳倩,核心领导,普通成员
ZLH-004,ZLH-076,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,32,ZLH-004__ZLH-076,强关联-组织隶属,,,,夏衍,马宁,核心领导,普通成员
ZLH-004,ZLH-021,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,33,ZLH-004__ZLH-021,强关联-组织隶属,,,,夏衍,丁玲,核心领导,骨干成员
ZLH-004,ZLH-037,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,34,ZLH-004__ZLH-037,强关联-组织隶属,,,,夏衍,楼适夷,核心领导,骨干成员
ZLH-004,ZLH-150,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,35,ZLH-004__ZLH-150,强关联-组织隶属,,,,夏衍,萧三,核心领导,相关人士
ZLH-004,ZLH-025,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,36,ZLH-004__ZLH-025,强关联-组织隶属,,,,夏衍,沙汀,核心领导,骨干成员
ZLH-004,ZLH-024,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,37,ZLH-004__ZLH-024,强关联-组织隶属,,,,夏衍,艾芜,核心领导,骨干成员
ZLH-004,ZLH-067,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,38,ZLH-004__ZLH-067,强关联-组织隶属,,,,夏衍,任钧,核心领导,普通成员
ZLH-004,ZLH-077,强关联-组织隶属,"）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼文化运动的点滴回忆
我记忆中的左联（冯润璋）
",左联回忆录 第699页,4,39,ZLH-004__ZLH-077,强关联-组织隶属,,,,夏衍,柳倩,核心领导,普通成员
ZLH-076,ZLH-021,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,40,ZLH-021__ZLH-076,强关联-组织隶属,,,,马宁,丁玲,普通成员,骨干成员
ZLH-076,ZLH-037,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,41,ZLH-037__ZLH-076,强关联-组织隶属,,,,马宁,楼适夷,普通成员,骨干成员
ZLH-076,ZLH-150,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,42,ZLH-076__ZLH-150,强关联-组织隶属,,,,马宁,萧三,普通成员,相关人士
ZLH-076,ZLH-025,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,43,ZLH-025__ZLH-076,强关联-组织隶属,,,,马宁,沙汀,普通成员,骨干成员
ZLH-076,ZLH-024,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,44,ZLH-024__ZLH-076,强关联-组织隶属,,,,马宁,艾芜,普通成员,骨干成员
ZLH-076,ZLH-067,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,45,ZLH-067__ZLH-076,强关联-组织隶属,,,,马宁,任钧,普通成员,普通成员
ZLH-076,ZLH-077,强关联-组织隶属,"
参加左联的前前后后（凌鹤）
左联杂忆（马宁）
左联和社联的一些关系（王学文）
关于“左联”（茅盾）
左翼文化阵营反对国民党反动派文化“围剿”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的",左联回忆录 第699页,4,46,ZLH-076__ZLH-077,强关联-组织隶属,,,,马宁,柳倩,普通成员,普通成员
ZLH-021,ZLH-037,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三",左联回忆录 第699页,4,47,ZLH-021__ZLH-037,强关联-组织隶属,,,,丁玲,楼适夷,骨干成员,骨干成员
ZLH-021,ZLH-150,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左",左联回忆录 第699页,4,48,ZLH-021__ZLH-150,强关联-组织隶属,,,,丁玲,萧三,骨干成员,相关人士
ZLH-021,ZLH-025,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆",左联回忆录 第699页,4,49,ZLH-021__ZLH-025,强关联-组织隶属,,,,丁玲,沙汀,骨干成员,骨干成员
ZLH-021,ZLH-024,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆",左联回忆录 第699页,4,50,ZLH-021__ZLH-024,强关联-组织隶属,,,,丁玲,艾芜,骨干成员,骨干成员
ZLH-021,ZLH-067,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆",左联回忆录 第699页,4,51,ZLH-021__ZLH-067,强关联-组织隶属,,,,丁玲,任钧,骨干成员,普通成员
ZLH-021,ZLH-077,强关联-组织隶属,"”的斗争（阳翰笙）
关于左联的片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆",左联回忆录 第699页,4,52,ZLH-021__ZLH-077,强关联-组织隶属,,,,丁玲,柳倩,骨干成员,普通成员
ZLH-037,ZLH-150,强关联-组织隶属,"片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左",左联回忆录 第699页,4,53,ZLH-037__ZLH-150,强关联-组织隶属,,,,楼适夷,萧三,骨干成员,相关人士
ZLH-037,ZLH-025,强关联-组织隶属,"片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪",左联回忆录 第699页,4,54,ZLH-025__ZLH-037,强关联-组织隶属,,,,楼适夷,沙汀,骨干成员,骨干成员
ZLH-037,ZLH-024,强关联-组织隶属,"片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪",左联回忆录 第699页,4,55,ZLH-024__ZLH-037,强关联-组织隶属,,,,楼适夷,艾芜,骨干成员,骨干成员
ZLH-037,ZLH-067,强关联-组织隶属,"片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪",左联回忆录 第699页,4,56,ZLH-037__ZLH-067,强关联-组织隶属,,,,楼适夷,任钧,骨干成员,普通成员
ZLH-037,ZLH-077,强关联-组织隶属,"片断回忆（丁玲）
记“左联”的两个刊物（楼适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪",左联回忆录 第699页,4,57,ZLH-037__ZLH-077,强关联-组织隶属,,,,楼适夷,柳倩,骨干成员,普通成员
ZLH-150,ZLH-025,强关联-组织隶属,"适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加",左联回忆录 第699页,4,58,ZLH-025__ZLH-150,强关联-组织隶属,,,,萧三,沙汀,相关人士,骨干成员
ZLH-150,ZLH-024,强关联-组织隶属,"适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我",左联回忆录 第699页,4,59,ZLH-024__ZLH-150,强关联-组织隶属,,,,萧三,艾芜,相关人士,骨干成员
ZLH-150,ZLH-067,强关联-组织隶属,"适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我",左联回忆录 第699页,4,60,ZLH-067__ZLH-150,强关联-组织隶属,,,,萧三,任钧,相关人士,普通成员
ZLH-150,ZLH-077,强关联-组织隶属,"适夷）
我为“左联”在国外作了些什么？（萧三）
有关左联的一些回忆（金丁）
纪念“左联”，缅怀战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我",左联回忆录 第699页,4,61,ZLH-077__ZLH-150,强关联-组织隶属,,,,萧三,柳倩,相关人士,普通成员
ZLH-025,ZLH-024,强关联-组织隶属,"战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我想起了",左联回忆录 第699页,4,62,ZLH-024__ZLH-025,强关联-组织隶属,,,,沙汀,艾芜,骨干成员,骨干成员
ZLH-025,ZLH-067,强关联-组织隶属,"战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我想起了左联（关露）
关于“左联”的一些情况（任钧）
左联与中国诗歌会（柳倩）——左联是如",左联回忆录 第699页,4,63,ZLH-025__ZLH-067,强关联-组织隶属,,,,沙汀,任钧,骨干成员,普通成员
ZLH-025,ZLH-077,强关联-组织隶属,"战友（季楚书）
一个左联盟员的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我想起了左联（关露）
关于“左联”的一些情况（任钧）
左联与中国诗歌会（柳倩）——左联是如何通过",左联回忆录 第699页,4,64,ZLH-025__ZLH-077,强关联-组织隶属,,,,沙汀,柳倩,骨干成员,普通成员
ZLH-024,ZLH-067,强关联-组织隶属,"的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我想起了左联（关露）
关于“左联”的一些情况（任钧）
左联与中国诗歌会（柳倩）——左联是如",左联回忆录 第699页,4,65,ZLH-024__ZLH-067,强关联-组织隶属,,,,艾芜,任钧,骨干成员,普通成员
ZLH-024,ZLH-077,强关联-组织隶属,"的回忆琐记（沙汀）
三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形
我想起了左联（关露）
关于“左联”的一些情况（任钧）
左联与中国诗歌会（柳倩）——左联是如何通过中国诗歌会领导和开展",左联回忆录 第699页,4,66,ZLH-024__ZLH-077,强关联-组织隶属,,,,艾芜,柳倩,骨干成员,普通成员
ZLH-067,ZLH-077,强关联-组织隶属,"了左联（关露）
关于“左联”的一些情况（任钧）
左联与中国诗歌会（柳倩）——左联是如何通过中国诗歌会领导和开展",左联回忆录 第699页,4,67,ZLH-067__ZLH-077,强关联-组织隶属,,,,任钧,柳倩,普通成员,普通成员
ZLH-030,ZLH-040,强关联-组织隶属,"左联大众化工作委员会的活动（吴奚如）
上火线（张凌青（耀华））
“左联”回忆片断（草明）
我在“左联”工作的时候（任白戈）
回",左联回忆录 第700页,4,68,ZLH-030__ZLH-040,强关联-组织隶属,,,,吴奚如,草明,骨干成员,骨干成员
ZLH-030,ZLH-063,强关联-组织隶属,"左联大众化工作委员会的活动（吴奚如）
上火线（张凌青（耀华））
“左联”回忆片断（草明）
我在“左联”工作的时候（任白戈）
回忆左联（魏猛克）
我参加“左联”时",左联回忆录 第700页,4,69,ZLH-030__ZLH-063,强关联-组织隶属,,,,吴奚如,任白戈,骨干成员,普通成员
